MONTH,DAY,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,WEATHER_DELAY,LATE_AIRCRAFT_DELAY,CARRIER_DELAY,DELAYED
9,27,1,AS,JFK,DFW,222,9,0,0,0,0
1,7,3,SW,ORD,DFW,1794,42,0,0,40,1
12,6,3,SW,ATL,SFO,1671,51,53,0,0,1
11,27,2,WN,DEN,SFO,1119,9,0,0,0,0
9,5,4,DL,ORD,JFK,285,3,0,0,0,0
1,10,6,UA,JFK,SEA,608,7,0,0,0,0
8,11,7,DL,DFW,SFO,1568,37,0,0,30,1
7,22,7,AS,ORD,DEN,151,0,0,0,0,0
8,4,5,WN,ATL,SEA,590,33,0,0,30,1
6,20,6,WN,LAX,JFK,1345,5,0,0,0,0
11,23,7,WN,ATL,SFO,280,2,0,0,0,0
12,3,4,AA,LAX,DEN,681,7,0,0,3,0
6,12,4,DL,DFW,SFO,1687,12,0,0,5,0
10,22,2,WN,ORD,LAX,1888,9,0,0,0,0
5,22,5,DL,LAX,DEN,1415,3,0,0,0,0
8,28,3,DL,SEA,JFK,1979,4,0,0,0,0
12,10,1,AS,SEA,ORD,33,0,0,0,0,0
10,24,4,UA,DFW,SFO,1443,0,0,0,0,0
11,4,6,AS,ATL,DFW,1805,46,23,0,18,1
12,14,2,DL,ORD,JFK,2209,3,0,0,0,0
3,9,7,WN,DEN,SEA,1387,21,0,0,14,1
9,12,1,WN,ATL,DFW,2197,3,0,0,0,0
10,13,7,AS,SFO,ATL,957,5,0,0,0,0
10,8,6,AA,JFK,SFO,1237,9,0,5,0,0
8,4,1,DL,ORD,DEN,1858,8,0,0,0,0
10,24,6,DL,SEA,SFO,405,3,0,0,0,0
1,23,3,DL,JFK,DFW,967,93,0,87,0,1
1,13,3,DL,LAX,JFK,1862,8,13,0,0,0
1,26,3,DL,ORD,JFK,2312,1,0,0,0,0
4,11,7,DL,ATL,DFW,592,0,0,0,0,0
11,28,1,DL,ATL,DFW,974,57,0,33,26,1
12,3,4,WN,SFO,DEN,446,4,0,0,0,0
8,21,1,AA,JFK,SEA,1645,66,0,56,5,1
10,5,1,DL,DEN,SFO,2246,4,0,0,0,0
8,17,5,WN,LAX,JFK,468,1,0,0,0,0
7,15,2,WN,SFO,JFK,1857,5,0,0,0,0
11,9,3,DL,JFK,ATL,373,18,0,12,0,1
3,18,1,SW,SFO,SEA,500,8,0,0,0,0
12,2,3,SW,DEN,ORD,424,2,0,0,0,0
2,12,7,SW,SFO,ATL,1141,0,0,0,0,0
10,22,7,AS,DEN,ATL,738,6,0,0,0,0
1,6,7,DL,SEA,ATL,581,34,0,0,33,1
7,14,4,UA,ORD,DFW,1276,0,0,0,0,0
1,5,2,SW,ATL,SEA,334,9,0,0,0,0
7,9,2,SW,LAX,DFW,1760,4,0,0,0,0
1,8,4,SW,ATL,LAX,837,20,0,0,16,1
6,4,1,WN,SEA,LAX,529,6,0,0,0,0
2,13,7,AS,ATL,DEN,76,47,0,40,0,1
12,21,4,UA,LAX,DEN,85,9,0,0,0,0
12,12,1,WN,LAX,ORD,1784,4,0,0,0,0
12,11,2,UA,ORD,ATL,2090,28,0,0,22,1
12,27,6,DL,DFW,ATL,599,38,0,0,41,1
3,25,6,WN,JFK,SEA,2309,5,0,0,0,0
11,11,2,WN,LAX,DEN,1811,6,0,0,0,0
9,3,3,WN,JFK,ATL,233,0,0,0,0,0
10,20,5,WN,JFK,DEN,2270,37,0,0,36,1
6,20,4,SW,ORD,ATL,1845,0,0,0,0,0
9,21,2,AA,DFW,SEA,1793,6,0,0,0,0
6,10,4,WN,SFO,SEA,214,13,0,0,6,0
5,9,6,AS,ORD,DFW,333,51,0,44,0,1
3,20,6,AA,DEN,SFO,1542,41,0,0,44,1
11,22,4,SW,SFO,ATL,1485,10,0,0,0,0
4,8,2,DL,LAX,DFW,414,0,0,0,0,0
11,11,7,SW,ORD,SFO,1543,0,0,0,0,0
12,15,1,WN,SFO,SEA,972,9,0,0,0,0
4,18,2,UA,JFK,SEA,794,9,0,0,0,0
5,25,4,SW,SEA,LAX,817,68,0,32,30,1
9,4,6,SW,LAX,DFW,343,0,0,0,0,0
7,3,2,WN,SFO,ATL,1699,29,32,0,0,1
6,8,1,UA,LAX,JFK,1373,46,0,36,0,1
12,27,2,AS,JFK,DFW,21,35,0,27,0,1
2,25,3,DL,DEN,ATL,195,0,0,0,0,0
2,27,4,SW,ATL,SEA,2110,0,0,0,0,0
10,12,2,SW,SEA,LAX,350,0,0,0,0,0
7,28,4,AA,SEA,ORD,1038,13,0,0,15,0
10,24,7,UA,ORD,ATL,1443,52,0,0,43,1
12,16,6,DL,ORD,ATL,1874,42,12,25,0,1
5,17,4,SW,JFK,ORD,149,0,0,0,0,0
11,11,3,AA,SFO,DFW,1638,0,0,0,0,0
8,23,4,UA,DEN,JFK,338,77,0,77,0,1
9,10,3,AA,LAX,DFW,1210,9,0,0,0,0
6,15,1,AS,SFO,DEN,1781,0,0,0,0,0
11,21,4,UA,ORD,ATL,584,0,0,0,0,0
2,8,7,AS,SFO,ORD,1568,25,0,19,0,1
6,15,7,AA,ORD,SFO,1503,0,0,0,0,0
1,24,2,WN,SEA,DEN,482,4,0,0,0,0
12,16,2,AA,ORD,JFK,303,0,0,0,0,0
11,28,3,AS,SFO,SEA,265,0,0,0,0,0
12,23,6,AS,ORD,JFK,1480,27,0,25,0,1
8,1,3,SW,SFO,DFW,2259,35,0,0,25,1
9,14,7,WN,LAX,ORD,1298,6,0,0,0,0
3,27,7,SW,ORD,JFK,528,6,0,0,7,0
5,6,2,UA,DFW,ORD,2125,3,0,0,0,0
3,21,3,SW,LAX,SFO,690,44,0,0,39,1
10,2,7,AA,LAX,ATL,1084,0,0,0,0,0
8,21,5,UA,DEN,DFW,1003,0,0,0,0,0
12,2,2,WN,SEA,DFW,1902,5,0,0,0,0
12,28,3,WN,ORD,JFK,1517,33,0,30,0,1
8,8,2,AA,ATL,DFW,1573,0,0,0,0,0
6,19,6,UA,DFW,JFK,652,4,0,0,0,0
8,1,1,WN,JFK,LAX,881,46,0,36,0,1
5,18,1,AA,SEA,LAX,1083,7,0,0,0,0
1,19,5,DL,SFO,DEN,1182,30,32,0,0,1
3,4,4,UA,SFO,DEN,1497,0,0,0,0,0
1,2,2,AS,SFO,JFK,1940,109,0,65,39,1
3,13,5,AS,DEN,SFO,1377,4,0,0,0,0
8,27,1,UA,SFO,SEA,448,0,0,0,0,0
10,16,3,AS,DFW,SEA,210,7,0,0,0,0
3,27,6,DL,ATL,SFO,450,8,0,0,0,0
12,7,4,SW,JFK,SEA,255,10,0,0,0,0
9,13,3,DL,JFK,DEN,1402,3,0,0,0,0
10,16,2,DL,DEN,SFO,1222,4,0,0,0,0
12,7,6,AS,JFK,ORD,1965,3,0,0,0,0
5,4,5,AS,SEA,DFW,1413,4,0,0,0,0
12,3,3,WN,DEN,SEA,1962,3,0,0,0,0
3,4,5,AS,DFW,LAX,207,0,0,0,0,0
2,14,3,AS,JFK,ATL,563,86,35,0,41,1
8,21,2,UA,SFO,ORD,242,69,0,73,0,1
3,14,7,DL,ATL,JFK,1626,4,0,0,0,0
1,1,3,SW,LAX,DFW,1165,0,0,0,0,0
9,15,3,DL,LAX,DFW,665,0,0,0,0,0
12,11,7,UA,DFW,LAX,1660,40,0,0,42,1
3,5,4,UA,DFW,ATL,1068,5,0,0,0,0
5,19,6,SW,ATL,DFW,1472,15,0,15,0,0
7,22,5,AS,DEN,SEA,480,2,0,0,0,0
4,5,4,DL,JFK,SFO,1530,1,0,0,0,0
4,22,7,SW,LAX,SFO,1829,0,0,0,0,0
1,27,5,SW,DFW,SFO,2198,0,0,0,0,0
11,7,6,SW,JFK,ATL,2090,25,0,16,0,1
10,2,5,WN,DEN,SEA,89,0,0,0,0,0
1,14,3,AS,LAX,SFO,246,86,0,60,26,1
3,25,6,AS,SEA,ORD,1566,0,0,0,0,0
11,22,7,SW,ORD,SEA,1424,0,0,0,0,0
12,8,7,AA,ATL,DFW,1896,2,0,0,0,0
4,15,3,DL,DEN,LAX,462,37,42,0,0,1
4,7,1,AA,ATL,DEN,199,57,0,56,0,1
1,5,5,UA,DFW,JFK,2359,5,0,0,0,0
4,10,2,AS,DFW,DEN,1230,0,0,0,0,0
11,22,4,SW,JFK,ATL,1410,5,0,0,0,0
12,14,4,DL,DEN,DFW,753,4,0,0,0,0
12,5,7,WN,ATL,SFO,1690,18,0,0,15,1
4,11,6,AA,JFK,SEA,1519,66,46,0,24,1
2,7,7,SW,DFW,DEN,855,0,0,0,0,0
4,7,6,AA,JFK,LAX,837,4,0,0,0,0
7,15,5,AS,SFO,ORD,1071,10,0,0,0,0
6,7,3,UA,SEA,ATL,2304,43,0,0,35,1
5,5,2,UA,DFW,DEN,2333,5,0,0,0,0
5,25,7,WN,JFK,DFW,689,44,0,0,34,1
3,18,6,AA,ATL,JFK,304,8,0,0,0,0
3,27,6,DL,LAX,SEA,618,82,32,0,40,1
11,16,1,AA,SEA,ATL,68,0,0,0,0,0
9,27,6,AS,SEA,JFK,734,22,0,19,0,1
6,9,7,WN,LAX,DFW,1663,4,0,0,0,0
11,27,7,AA,ATL,LAX,1660,0,0,0,0,0
2,16,7,WN,SFO,DEN,390,10,0,0,0,0
5,2,1,AS,DEN,SFO,2308,0,0,0,0,0
4,19,2,AS,SEA,ATL,1225,7,0,0,0,0
11,18,3,WN,ORD,JFK,321,29,0,0,27,1
2,11,5,SW,SEA,JFK,1336,19,17,0,0,1
6,18,4,WN,ORD,SEA,1556,36,39,0,0,1
2,9,2,WN,ORD,SEA,1595,9,0,0,0,0
6,25,3,AA,ORD,ATL,767,0,0,0,0,0
1,3,3,SW,LAX,SFO,1328,49,0,52,0,1
12,18,2,SW,ORD,SEA,1559,0,0,0,0,0
2,6,4,UA,SEA,ORD,1983,10,0,0,0,0
10,20,2,WN,LAX,ORD,1247,30,25,0,0,1
8,11,4,AS,ORD,DFW,1313,0,0,0,0,0
7,11,3,AS,JFK,DEN,992,6,0,0,0,0
2,19,2,SW,ORD,SEA,2253,55,46,0,0,1
5,27,6,AA,SEA,SFO,2045,0,0,0,0,0
12,14,7,WN,LAX,DEN,1962,8,0,0,0,0
9,2,7,UA,LAX,ATL,1016,0,0,0,0,0
10,21,6,AS,SEA,JFK,1358,18,0,0,16,1
9,24,5,SW,DFW,DEN,1532,0,0,0,0,0
6,1,4,AA,DEN,DFW,351,24,0,0,19,1
8,26,2,SW,JFK,ORD,1950,50,46,0,0,1
1,26,6,AA,ATL,JFK,1405,15,0,0,15,0
9,6,3,SW,SEA,DFW,949,50,0,0,42,1
7,1,6,SW,DFW,DEN,1759,0,0,0,0,0
10,4,7,SW,ORD,DFW,1335,90,0,85,0,1
10,13,5,WN,LAX,DFW,1441,4,0,0,0,0
10,19,1,AS,ORD,DFW,482,54,0,47,0,1
7,20,2,SW,SEA,DFW,760,0,0,0,0,0
9,6,4,UA,ORD,LAX,1288,0,0,0,0,0
8,5,2,WN,JFK,DFW,2014,0,0,0,0,0
10,1,7,DL,DEN,ATL,1125,10,0,0,0,0
9,17,1,SW,LAX,DFW,2224,0,0,0,0,0
12,15,5,DL,SEA,ATL,1013,6,0,0,0,0
2,15,7,AA,DFW,LAX,1436,0,0,0,0,0
4,27,2,AA,SFO,DEN,1151,4,0,0,0,0
5,19,3,SW,LAX,ORD,1685,0,0,0,0,0
12,28,2,DL,ORD,SEA,1319,10,0,0,0,0
3,19,6,UA,SEA,DFW,1851,85,50,0,32,1
12,12,4,WN,SFO,DEN,10,35,0,0,29,1
2,26,5,WN,DFW,DEN,867,0,0,0,0,0
10,28,4,UA,ATL,LAX,407,19,0,0,10,1
8,1,4,DL,ORD,SEA,1236,6,0,0,0,0
5,3,3,AS,ORD,ATL,1623,8,0,0,0,0
11,3,6,AA,ATL,ORD,1953,32,37,0,0,1
1,23,3,AA,SEA,SFO,541,4,0,0,6,0
6,12,3,DL,SEA,JFK,545,31,0,0,36,1
10,21,2,WN,SFO,SEA,872,9,0,0,0,0
4,3,1,DL,LAX,SFO,1572,2,0,0,0,0
5,21,1,DL,DEN,JFK,109,1,0,0,0,0
12,13,3,AS,ATL,JFK,980,60,0,63,0,1
9,1,3,UA,ORD,DEN,2328,27,0,0,30,1
1,19,1,AA,DEN,LAX,163,4,0,0,0,0
11,23,5,WN,SEA,SFO,1647,43,34,0,5,1
2,17,2,DL,SFO,DFW,270,2,0,0,0,0
1,8,1,WN,LAX,DEN,225,0,0,0,0,0
1,23,2,AS,ATL,ORD,2033,3,0,0,0,0
3,12,2,AS,DEN,SEA,483,51,0,54,0,1
5,23,5,AS,LAX,DEN,1864,85,0,72,10,1
2,19,6,AS,LAX,ORD,2084,64,54,0,0,1
6,13,2,DL,ATL,SFO,1717,5,0,0,0,0
5,27,1,SW,SFO,ATL,2056,24,0,28,0,1
7,3,4,UA,DEN,ORD,353,29,0,25,0,1
12,20,2,WN,SFO,DEN,2020,2,0,0,0,0
3,1,4,AA,DFW,SFO,1418,16,0,0,21,1
11,13,7,AS,DEN,ATL,840,0,0,0,0,0
3,23,3,AA,ATL,ORD,2128,0,0,0,0,0
10,4,5,DL,SEA,ATL,2325,45,42,0,0,1
6,26,4,AS,SFO,ORD,1854,60,0,25,37,1
3,4,2,WN,JFK,ORD,1665,9,0,0,0,0
5,15,3,AA,LAX,ORD,1246,19,0,0,20,1
2,23,2,UA,SEA,DEN,200,0,0,0,0,0
7,28,4,SW,DFW,ATL,1892,5,0,0,3,0
3,7,7,WN,SFO,SEA,344,0,0,0,0,0
2,7,6,WN,ORD,ATL,1358,44,0,0,36,1
12,13,4,AA,SEA,SFO,1747,26,0,0,17,1
3,2,5,SW,DFW,SEA,1208,0,0,0,0,0
5,13,2,WN,DFW,SEA,2153,0,0,0,0,0
7,26,6,UA,JFK,DEN,1985,3,0,0,0,0
3,1,3,SW,DFW,ATL,1150,32,30,0,0,1
3,4,2,AS,DFW,ORD,2185,21,0,0,14,1
6,27,7,DL,ORD,LAX,1302,0,0,0,0,0
12,23,3,SW,ORD,SFO,771,4,0,0,0,0
3,16,1,AA,ATL,ORD,896,107,30,78,0,1
6,23,2,UA,ATL,LAX,605,6,0,0,0,0
2,12,6,AS,SEA,DEN,413,8,0,0,0,0
11,16,6,UA,ORD,SEA,2301,2,0,0,0,0
11,19,7,DL,SEA,ORD,1206,7,0,0,0,0
10,2,2,SW,SFO,JFK,904,69,0,63,4,1
6,11,2,AS,LAX,JFK,1375,0,0,0,0,0
6,9,7,AA,ATL,LAX,1580,36,0,0,26,1
7,12,5,WN,LAX,JFK,1963,2,0,0,0,0
3,15,1,AA,DEN,ATL,1305,67,0,43,24,1
12,3,5,AA,SFO,DEN,1977,8,0,0,0,0
3,2,1,UA,DFW,LAX,1676,3,0,0,0,0
11,10,3,DL,LAX,ATL,1609,18,0,0,23,1
7,3,3,AS,JFK,LAX,397,20,10,0,0,1
2,10,7,WN,JFK,DFW,1085,41,34,0,0,1
6,6,4,AA,DEN,DFW,1904,0,0,0,0,0
12,22,1,AA,SFO,JFK,2217,0,0,0,0,0
7,27,5,WN,JFK,DEN,965,3,0,4,0,0
2,25,4,DL,ORD,LAX,789,8,0,0,0,0
4,27,6,DL,DEN,ORD,274,38,35,0,0,1
9,15,7,AA,SEA,ATL,1697,0,0,0,0,0
2,19,7,AA,DEN,JFK,2193,10,0,0,0,0
10,20,4,AA,ORD,DFW,1650,0,0,0,0,0
7,11,6,DL,ATL,SEA,1946,23,0,0,19,1
5,27,4,AS,LAX,JFK,933,5,0,0,0,0
5,24,4,SW,LAX,ORD,1809,6,0,0,0,0
1,17,7,DL,LAX,DFW,2075,0,0,0,0,0
3,7,7,DL,ATL,ORD,135,3,0,0,0,0
6,27,4,SW,SEA,SFO,507,9,0,0,0,0
3,28,4,SW,SFO,ORD,669,0,0,0,0,0
5,1,4,AA,ORD,JFK,2343,2,0,0,0,0
11,7,3,AS,SEA,DEN,82,10,0,0,0,0
3,21,2,SW,ATL,ORD,1033,3,0,0,0,0
7,13,7,UA,JFK,ORD,893,7,0,0,0,0
10,4,1,SW,SFO,DEN,1157,11,0,8,0,0
11,11,7,UA,DEN,SEA,1223,0,0,0,0,0
10,13,6,UA,ORD,SEA,104,8,0,0,0,0
7,13,6,AA,DFW,ORD,910,6,0,0,0,0
9,10,7,DL,ORD,DFW,399,0,0,0,0,0
11,11,6,AA,DFW,ORD,914,5,0,0,0,0
6,9,5,UA,JFK,SEA,482,0,0,0,0,0
8,7,5,AA,SEA,DEN,1222,17,0,0,12,1
7,19,4,DL,SFO,JFK,738,0,0,0,0,0
6,21,1,AA,JFK,ORD,857,10,0,0,0,0
2,5,5,WN,SEA,DFW,1757,18,0,0,12,1
1,11,7,SW,DFW,ATL,16,6,0,0,0,0
5,5,1,WN,DEN,LAX,267,5,0,0,0,0
7,22,2,UA,JFK,ORD,771,0,0,0,0,0
4,8,6,DL,DFW,SEA,89,0,0,0,0,0
7,21,3,SW,ATL,SFO,196,42,0,0,44,1
7,15,4,AA,DEN,DFW,627,24,0,0,26,1
11,17,3,SW,ORD,DEN,429,0,0,0,0,0
8,7,5,DL,DEN,JFK,2142,0,0,0,0,0
1,18,4,DL,JFK,ORD,960,66,42,14,0,1
3,3,7,SW,LAX,SEA,414,4,0,0,0,0
5,15,1,AA,ORD,JFK,161,8,0,0,0,0
12,4,1,AA,ATL,JFK,566,9,0,0,0,0
10,9,6,AA,SFO,JFK,1403,3,0,0,0,0
7,23,7,WN,SEA,SFO,683,8,0,0,10,0
7,19,4,SW,JFK,LAX,1555,0,0,0,0,0
8,16,1,WN,JFK,ATL,259,2,0,0,0,0
11,28,3,SW,LAX,DEN,1018,0,0,0,0,0
9,20,1,AA,ORD,SFO,1922,36,0,0,31,1
4,11,3,AA,DFW,SFO,1550,9,0,0,0,0
2,28,4,WN,SFO,ATL,2037,46,0,51,0,1
2,26,5,SW,DEN,SFO,2303,6,0,0,0,0
1,27,2,WN,SFO,DEN,1937,0,0,0,0,0
11,8,1,UA,SFO,JFK,1195,20,0,0,10,1
3,27,6,AS,SEA,ATL,1041,7,0,0,0,0
4,15,7,DL,SFO,ATL,1697,49,40,0,0,1
8,22,5,SW,ORD,DEN,17,65,0,55,0,1
9,25,2,AS,ORD,SEA,525,5,0,0,0,0
9,13,4,SW,DFW,ORD,1629,0,0,0,0,0
3,14,5,AS,DEN,JFK,2243,1,0,0,0,0
4,7,5,AS,DEN,SEA,1414,90,0,90,0,1
9,18,6,AS,SFO,SEA,472,8,0,0,0,0
11,24,7,SW,DEN,JFK,1730,5,0,0,9,0
11,2,2,UA,ORD,DFW,1026,33,0,37,0,1
6,27,4,AA,DFW,SEA,2298,4,0,0,0,0
12,22,1,WN,SEA,DFW,1280,41,0,32,0,1
4,21,6,AS,SFO,JFK,2238,1,0,0,0,0
5,15,2,AS,LAX,ORD,711,8,0,5,0,0
3,6,5,UA,ATL,DFW,1910,16,0,0,20,1
11,20,7,AS,DEN,DFW,2345,92,0,90,0,1
3,17,1,SW,ORD,DEN,2224,33,0,28,0,1
6,12,3,DL,JFK,DEN,36,2,0,0,0,0
1,22,3,WN,LAX,DEN,1050,6,0,0,0,0
9,26,5,WN,JFK,ATL,1214,0,0,0,0,0
3,25,5,SW,ATL,SEA,268,8,0,0,0,0
2,7,5,AS,SEA,SFO,295,5,0,0,0,0
1,3,1,AA,ORD,JFK,1031,3,0,0,0,0
7,13,4,AS,SEA,DFW,1295,40,43,0,0,1
12,19,1,AS,LAX,DFW,2059,0,0,0,0,0
5,25,4,WN,SEA,JFK,126,29,0,0,25,1
11,5,3,AS,SFO,ATL,2267,50,0,5,38,1
9,18,1,UA,DFW,SEA,1408,0,0,0,0,0
3,6,2,SW,DEN,LAX,469,9,0,0,0,0
11,18,1,UA,LAX,DFW,402,6,0,0,0,0
3,22,6,DL,LAX,DFW,285,4,0,0,0,0
12,19,2,SW,SFO,JFK,1295,2,0,0,0,0
12,24,6,WN,DEN,JFK,1472,9,0,0,0,0
8,12,7,UA,JFK,DEN,445,0,0,0,0,0
9,7,3,AS,LAX,SEA,308,7,0,0,0,0
10,7,1,SW,DEN,SFO,2210,2,0,0,0,0
10,24,7,UA,ORD,DEN,2052,2,0,0,0,0
10,22,2,SW,ORD,DEN,652,0,0,0,0,0
12,24,4,UA,ATL,ORD,1997,1,0,0,0,0
9,26,3,WN,JFK,DFW,190,44,41,0,0,1
12,9,5,SW,ORD,DEN,1550,3,0,0,0,0
7,8,5,WN,SFO,JFK,1413,0,0,0,0,0
8,6,2,AA,DEN,LAX,615,0,0,0,0,0
11,8,4,UA,LAX,DEN,1961,8,0,0,0,0
1,8,1,DL,ORD,LAX,2099,57,36,21,0,1
9,13,5,SW,ATL,SEA,1161,10,0,0,0,0
8,6,2,WN,ORD,JFK,744,48,0,0,43,1
8,20,5,AA,DFW,DEN,1578,74,0,66,0,1
3,20,1,DL,JFK,DEN,159,0,0,0,0,0
8,22,2,SW,ATL,JFK,1767,41,0,0,33,1
4,26,4,WN,SFO,DEN,2359,5,8,0,0,0
5,20,5,WN,DEN,LAX,22,0,0,0,0,0
9,1,4,AS,DFW,SEA,1293,57,0,54,0,1
5,28,5,WN,SFO,DEN,1128,10,0,0,0,0
3,12,5,SW,JFK,ORD,1256,0,0,0,0,0
11,4,6,DL,JFK,SEA,662,0,0,0,0,0
3,13,6,AA,LAX,JFK,595,18,0,0,16,1
6,3,5,AA,SEA,DFW,2134,21,0,0,11,1
8,1,2,AS,DEN,LAX,137,0,0,0,0,0
11,2,3,DL,ATL,ORD,355,7,0,0,0,0
7,19,2,SW,ATL,SEA,281,6,0,0,0,0
6,27,3,DL,DFW,DEN,1654,0,0,0,0,0
9,3,5,UA,SFO,ATL,2102,3,0,0,0,0
12,15,4,SW,JFK,SEA,996,9,0,0,0,0
10,28,1,WN,LAX,DFW,276,2,0,0,0,0
6,14,3,SW,ATL,SEA,1078,91,0,86,0,1
2,18,2,WN,SFO,ORD,895,1,0,0,0,0
8,24,2,DL,DFW,JFK,1087,6,0,0,0,0
3,25,1,AA,LAX,SEA,2017,0,0,0,0,0
8,12,5,UA,JFK,DEN,1125,3,0,0,0,0
7,8,7,SW,ORD,ATL,2153,6,0,0,0,0
7,28,6,DL,JFK,ATL,2122,20,0,0,13,1
10,4,3,UA,DEN,LAX,2246,5,0,0,0,0
6,6,4,WN,DFW,DEN,1524,0,0,0,0,0
10,22,2,AA,DEN,JFK,965,19,0,0,9,1
1,6,4,WN,ORD,JFK,2117,3,0,0,0,0
9,28,5,AA,SEA,ATL,669,50,52,0,0,1
